mutcd_code,description,sign_text,category
R11-3b,bridge out,BRIDGE OUT AHEAD LOCAL TRAFFIC ONLY,regulatory_bw
R11-4,road closed thru,ROAD CLOSED TO THRU TRAFFIC,regulatory_bw
R12-1,weight limit,WEIGHT LIMIT [[weight]],regulatory_bw
R12-2,axle weight,AXLE WEIGHT LIMIT [[weight]],regulatory_bw
R12-3,no trucks over,NO TRUCKS OVER [[weight]],regulatory_bw
R12-4,weight per axle,WEIGHT LIMIT [[weight]] PER AXLE [[wieght]] GROSS,regulatory_bw
R12-5,weight limit multi,WEIGHT LIMIT [[info]],regulatory_bw
R13-1,all trucks next right,ALL TRUCKS COMMERCIAL VEHICLES NEXT RIGHT,regulatory_bw
R14-1,truck route,TRUCK ROUTE,regulatory_bw
R14-2,hazardous material allowed, ,regulatory_bw
R14-3,hazardous material not allowed, ,regulatory_bw
R14-4,trucks allowed, ,regulatory_bw
R14-5,trucks not allowed, ,regulatory_bw
R15-1,railroad crossing,RAILROAD CROSSING,rail
R15-2,track count,[[number]] TRACKS,rail
R15-3,exempt,EXEMPT,regulatory_bw
R15-4a,right lane rail,RIGHT LANE ONLY,rail
R15-4b,left lane rail,LEFT LANE ONLY,rail
R15-4c,center lane rail,CENTER LANE ONLY,rail
R15-5,do not pass,DO NOT PASS,rail
R15-5a,do not pass train,DO NOT PASS STOPPED TRAIN,rail
R15-6,do not drive on tracks textless, ,rail
R15-6a,do not drive on tracks,DO NOT DRIVE ON TRACKS,rail
R15-7,divided highway rail,DIVIDED HIGHWAY,rail
R15-8,look bothways,LOOK,rail
R16-1,seatbelt required, ,regulatory_bw
S1-1,school zone, ,school_pedestrian
W16-7P,crosswalk here, ,school_pedestrian
S3-1,schoolbus top,SCHOOL BUS STOP AHEAD,school_pedestrian
S4-5,school zone ahead,SHOOL SPEED LIMIT 20,school_pedestrian
S4-5a,school zone ahead alt,20 MPH SCHOOL ZONE AHEAD,school_pedestrian
S4-3,school,SCHOOL,school_pedestrian
S4-1,time range,[[TIME RANGE]],regulatory_bw
S4-2,children,WHEN CHILDREN ARE PRESENT,school_pedestrian
S4-4,when flashing,WHEN FLASHING,school_pedestrian
S4-6,mon-fri,MON-FRI,regulatory_bw
S5-2,end school zone,END SCHOOL ZONE,school_pedestrian
S5-1,school speed limit,SCHOOL SPEED LIMIT 15 WHEN FLASHING,school_pedestrian
W1-1L,road turns left, ,warning
W1-1R,road turns right, ,warning
W1-2L,road curves left, ,warning
W1-2R,road curves right, ,warning
W1-3L,road bends left, ,warning
W1-3R,road bends right, ,warning
W1-4L,road strafes left, ,warning
W1-4R,road strafes right, ,warning
W1-5L,winding road, ,warning
W1-5R,winding road 2, ,warning
W1-6L,warning left, ,warning
W1-6R,warning right, ,warning
W1-7,warning both ways, ,warning
W1-8L,move left, ,warning
W1-8R,move right, ,warning
W1-9L,slow down for left turn, ,warning
W1-9R,slow down for right turn, ,warning
W1-10L,left curve with side road, ,warning
W1-10R,right curve with side road, ,warning
W1-11,180 degree curve, ,warning
W1-13,rollover warning, ,warning
W1-15,loop ahead, ,warning
W2-1,intersection ahead, ,warning
W2-2R,right turn ahead, ,warning
W2-2L,left turn ahead, ,warning
W2-3L,left fork, ,warning
W2-3R,right fork, ,warning
W2-4,T-intersection ahead, ,warning
W2-5,fork ahead, ,warning
W2-6,roundabout, ,warning
W3-1,stop sign ahead, ,warning
W3-1a,stop ahead,STOP AHEAD,warning
W3-2,yield sign ahead, ,warning
W3-2a,yield ahead,YIELD AHEAD,warning
W3-3,stoplight ahead, ,warning
W3-3a,signal ahead,SIGNAL AHEAD,warning
